2018-08-30 12:14:39.072 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 7728 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 15:09:42.365 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 30.435 seconds (JVM running for 34.655)
2018-08-30 17:04:33.118 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 10088 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 17:04:33.149 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 17:05:03.981 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 32.464 seconds (JVM running for 43.368)
2018-08-30 17:49:18.925 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 7144 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 17:49:19.032 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 17:49:58.550 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 40.804 seconds (JVM running for 61.123)
2018-08-30 17:56:28.078 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 2272 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 17:56:28.152 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 17:56:55.308 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 28.542 seconds (JVM running for 37.545)
2018-08-30 17:57:46.728 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 2424 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 17:57:46.731 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 17:58:05.665 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 19.752 seconds (JVM running for 28.615)
2018-08-30 17:59:08.002 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 9996 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 17:59:08.008 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 17:59:18.290 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 10.852 seconds (JVM running for 12.304)
2018-08-30 18:02:36.315 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 5424 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 18:02:36.425 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 18:02:55.626 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 25.085 seconds (JVM running for 32.857)
2018-08-30 18:04:44.253 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 5624 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 18:04:44.313 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 18:05:18.783 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 37.007 seconds (JVM running for 47.475)
2018-08-30 18:14:10.299 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 5236 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 18:14:10.331 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 18:14:29.647 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 19.937 seconds (JVM running for 24.687)
2018-08-30 18:16:22.928 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 1920 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 18:16:22.955 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 18:16:47.003 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 25.967 seconds (JVM running for 35.928)
2018-08-30 18:18:22.980 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 11944 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 18:18:23.054 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 18:18:40.373 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 18.13 seconds (JVM running for 24.258)
2018-08-30 18:23:43.843 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 9848 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 18:23:43.868 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 18:24:03.454 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 20.999 seconds (JVM running for 25.297)
2018-08-30 18:57:10.771 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 7740 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 18:57:10.797 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 18:57:23.401 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 14.067 seconds (JVM running for 20.159)
2018-08-30 18:58:39.719 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 8840 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 18:58:39.751 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 18:58:57.159 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 19.847 seconds (JVM running for 31.866)
2018-08-30 19:00:26.473 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 6956 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:00:26.479 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:00:37.495 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 11.456 seconds (JVM running for 12.508)
2018-08-30 19:14:07.361 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 9676 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:14:07.415 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:14:34.036 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 28.945 seconds (JVM running for 52.276)
2018-08-30 19:20:06.542 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 3964 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:20:06.545 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:20:17.802 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 11.97 seconds (JVM running for 17.285)
2018-08-30 19:24:39.720 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 13212 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:24:39.747 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:24:53.931 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 14.946 seconds (JVM running for 20.33)
2018-08-30 19:28:21.412 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 12704 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:28:21.420 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:28:30.496 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 9.675 seconds (JVM running for 11.78)
2018-08-30 19:33:34.149 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 6448 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:33:34.162 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:33:46.718 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 13.175 seconds (JVM running for 18.0)
2018-08-30 19:36:59.071 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 4432 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:36:59.080 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:37:10.313 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 9820 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:37:10.334 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:37:19.383 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 9.539 seconds (JVM running for 10.789)
2018-08-30 19:40:24.973 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 9744 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:40:24.978 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:40:34.908 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 10.417 seconds (JVM running for 11.574)
2018-08-30 19:40:48.142 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 6276 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:40:48.146 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:40:59.731 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 12.082 seconds (JVM running for 13.579)
2018-08-30 19:43:20.506 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 2828 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:43:20.511 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:43:29.419 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 9.235 seconds (JVM running for 12.376)
2018-08-30 19:45:21.874 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 8776 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-30 19:45:21.881 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-30 19:45:31.005 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 9.6 seconds (JVM running for 10.679)
2018-08-31 08:55:22.281 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 11824 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 08:55:22.326 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 08:55:46.117 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 25.541 seconds (JVM running for 33.891)
2018-08-31 10:32:33.538 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 10180 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:32:33.557 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:32:51.514 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 19.906 seconds (JVM running for 30.153)
2018-08-31 10:35:48.427 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 8304 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:35:48.433 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:35:57.026 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 9.013 seconds (JVM running for 10.288)
2018-08-31 10:38:08.048 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 6980 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:38:08.053 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:38:17.922 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 10.484 seconds (JVM running for 11.557)
2018-08-31 10:39:47.538 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 3780 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:39:47.562 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:39:59.070 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 12.18 seconds (JVM running for 13.334)
2018-08-31 10:41:39.735 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 13128 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:41:39.764 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:41:54.901 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 16.905 seconds (JVM running for 22.586)
2018-08-31 10:47:24.199 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 9580 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:47:24.258 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:47:44.905 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 22.858 seconds (JVM running for 42.854)
2018-08-31 10:48:31.318 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 8360 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:48:31.322 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:48:41.734 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 11.003 seconds (JVM running for 12.025)
2018-08-31 10:49:17.106 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 7696 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:49:17.111 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:49:28.322 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 11.757 seconds (JVM running for 13.037)
2018-08-31 10:51:48.344 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 11784 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:51:48.349 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:51:59.103 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 11.154 seconds (JVM running for 12.838)
2018-08-31 10:53:58.359 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 1668 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:53:58.364 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:54:08.541 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 10.801 seconds (JVM running for 11.834)
2018-08-31 10:57:23.402 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 10308 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:57:23.407 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:57:32.050 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 9.403 seconds (JVM running for 10.802)
2018-08-31 10:58:00.999 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 11344 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:58:01.005 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:58:09.709 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 9.489 seconds (JVM running for 10.596)
2018-08-31 10:59:50.799 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 9408 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 10:59:50.805 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 10:59:59.404 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 9.222 seconds (JVM running for 10.363)
2018-08-31 11:01:50.018 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 876 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 11:01:50.050 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 11:02:06.053 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 17.067 seconds (JVM running for 22.96)
2018-08-31 11:05:42.442 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 2408 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 11:05:42.447 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 11:05:52.964 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 11.059 seconds (JVM running for 12.305)
2018-08-31 11:06:29.527 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 6284 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 11:06:29.532 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 11:06:38.301 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 9.444 seconds (JVM running for 10.771)
2018-08-31 11:09:27.340 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 13268 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 11:09:27.351 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 11:09:38.768 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 11.99 seconds (JVM running for 19.265)
2018-08-31 11:20:06.559 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 1408 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 11:20:06.574 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 11:20:22.188 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 16.37 seconds (JVM running for 20.197)
2018-08-31 11:30:53.961 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Starting HospitalmanagerApplication on DESKTOP-KAF6VDO with PID 1336 (E:\hospitalmanager\target\classes started by aixiaobai in E:\hospitalmanager)
2018-08-31 11:30:54.007 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - No active profile set, falling back to default profiles: default
2018-08-31 11:31:32.024 [restartedMain] INFO  c.dyhc.hospitalmanager.HospitalmanagerApplication - Started HospitalmanagerApplication in 39.572 seconds (JVM running for 44.844)
